feature,importance_XGBoost,importance_LightGBM,importance_RandomForest,importance_HistGradientBoosting,mean_importance
nitrogen_dioxide_mass_mixing_ratio__cumsum,0.032904997,0.023842170398447916,0.0005542190217021207,0.016199894422407657,0.018375320327638098
oh__mean,0.01722516,0.031339450759768336,0.0,0.02443683208116414,0.018250360543272164
sea_salt_aerosol_05_5_mixing_ratio__cumsum,0.024829486,0.029420333163502465,0.0005563831610649597,0.015693911852078454,0.01762502864040843
specific_humidity__mean,0.009729698,0.017788745584499787,0.0026174086876306494,0.03547966084044346,0.016403878353233883
nitrogen_dioxide_mass_mixing_ratio__max,0.021758176,0.006647980492681645,0.0,0.03693723053759236,0.01633584685415759
ethane__mean,0.051811,0.006865318361931501,0.0,0.003140603756436982,0.015454230146989906
formaldehyde__last6_mean,0.037250683,0.019140996696529952,0.0,0.003955059322399482,0.015086684682632672
oh__park_wmean,0.032482,0.021037819527300744,0.0,0.005492117727622264,0.014752983865026987
sulphur_dioxide_mass_mixing_ratio__park_wmean,0.054960206,0.001125435998805589,6.739490651899507e-05,0.002592613420025437,0.014686412619089657
organic_nitrates__last6_mean,0.011347008,0.007579497368594608,0.0,0.03977385929296719,0.014675091149822787
hydrophilic_organic_matter_aerosol_mixing_ratio__last6_mean,0.032196574,0.01915265874814427,0.0,0.004801739874716868,0.01403774313398963
nitrogen_dioxide_mass_mixing_ratio__mean,0.048075706,0.003547617813249352,0.0,0.00393204776715097,0.013888842836769544
temperature__mean,0.019272638,0.01576866966152425,0.0025808029820720943,0.017416228813666418,0.013759584985524598
metar_dew_point_c__park_wmean,0.013778729,0.03202685317265429,0.0033745328903383143,0.0050059740081755425,0.013546522358861019
sea_salt_aerosol_5_20_mixing_ratio__park_wmean,0.017611736,0.028260242721809804,0.0,0.007772407378348067,0.013411096632968935
h2o2__max,0.020789763,0.019615271538108832,0.0,0.012757214444229443,0.013290562235305628
dust_aerosol_055_09_mixing_ratio__max,0.03630711,0.014774385619380308,0.0,0.0015933619459098049,0.013168714736943638
metar_visibility_mi__mean,0.0031784233,0.012885479104899041,0.0026415325619237057,0.033892327331091286,0.013149440567124296
h2o2__mean,0.027547885,0.002974441015270508,0.0,0.02083535201552494,0.012839419440820066
c3h8__park_wmean,0.022777798,0.027198886420894523,0.0,0.0009246799711113066,0.012725341011569238
dust_aerosol_09_20_mixing_ratio__park_wmean,0.03125129,0.008750260774654392,0.0,0.010079960010176404,0.012520377433818515
h2o2__cumsum,0.024828026,0.013509081210513871,0.0,0.011601852967739058,0.01248474006236094
hydrophilic_black_carbon_aerosol_mixing_ratio__cumsum,0.031867653,0.0064600223855694975,3.2867622375245757e-06,0.011138110905754272,0.012367268296261568
dust_aerosol_09_20_mixing_ratio__cumsum,0.023884648,0.020996395823356325,0.00010822228474334461,0.004281704155946778,0.012317742680303997
dust_aerosol_003_055_mixing_ratio__cumsum,0.025771374,0.003713811507722677,4.9638105965468227e-05,0.018152832800639635,0.01192191407430438
sea_salt_aerosol_003_05_mixing_ratio__park_wmean,0.03593986,0.004845004303982353,0.0,0.006351008479467248,0.011783968468110192
metar_wind_speed_kn__mean,0.024705036,0.007962476410962658,0.0035417440955116336,0.010647726036879536,0.011714245538835235
metar_visibility_mi__park_wmean,0.0145547325,0.015567454487155165,0.0028996482797849403,0.01366845261770538,0.011672571965950137
metar_hour_precipitation__last6_mean,0.014105802,0.014532272717415876,0.000620676923800139,0.01739177085084735,0.011662630723490913
dust_aerosol_003_055_mixing_ratio__mean,0.0061917887,0.006161181142419632,0.0,0.03419106937266529,0.011636009805503354
dust_aerosol_09_20_mixing_ratio__mean,0.01675083,0.01521149603514476,0.0,0.01420363515284737,0.011541490120579014
ozone_mass_mixing_ratio__park_wmean,0.015768502,0.024991811621666957,0.0,0.004850219191570975,0.011402633180206246
nitrogen_dioxide_mass_mixing_ratio__park_wmean,0.020159932,0.014099303890138096,0.0,0.010921266936108034,0.011295125669914929
metar_wind_speed_kn__park_wmean,0.03577576,0.0020357411491149944,0.003847261373295829,0.0030544504652915984,0.01117830282843901
nitrogen_monoxide_mass_mixing_ratio__park_wmean,0.011092559,0.003857777809346906,0.0,0.029558377244352268,0.011127178622043172
